ID,Contributor,Citation,Glottocode,LanguageVariety,Family,Area,Notes,BibTex
51,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",tsat1238,Utsat,Austronesian,Asia,,thurgood1993
52,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",thai1261,Proto-Tai,Kra-dai,Asia,Glottocode for Thai,abramson1992
53,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",slav1255,Late Proto-Slavic,Indoeuropean,Europe,,kortlandt2010
54,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",yeni1252,Pre-proto-Yeniseian,Na-Dene,Asia,Glottocode for Yeniseian,vajda2010
55,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",bwek1238,Chitabu (bwe),Sino-Tibetan,Asia,Glottocode for Bwe Karen,weidert1987
56,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",chey1247,Cheyenne,Algic,North America,,pappas2017
57,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",kick1244,Kickapoo,Algic,North America,,gathercole1983 
58,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",boro1277,Shinasha,Omotic,Africa,,tesfaye1994
59,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",pwoo1239,Pwo Karen,Sino-Tibetan,Asia,,weidert1987
60,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",sgaw1245,Sgaw Karen,Sino-Tibetan,Asia,,weidert1987
61,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",prus1238,West Baltic (Prussian),Indoeuropean,Europe,Glottocode for Old Prussian,kortlandt2010
62,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",walu1241,Tokpe Gola (Tibetan),Sino-Tibetan,Asia,Glottocode for Walungge (Wiki suggests this is the same language),caplow2009
63,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",zhuo1234,Zhuoni Tibetan,Sino-Tibetan,Asia,,sun2003
65,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",cent2346,Rikeze Tibetan,Sino-Tibetan,Asia,Glottocode for Central Tibetan,sun2003
66,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",zhon1235,Zhibo Tibetan,Sino-Tibetan,Asia,Glottocode for Zhongu,sun2003
67,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",tuuu1240,Mongour,Mongolic,Asia,,dwyer2008
68,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",raja1258,Proto-Maˈya,Austronesian,Papunesia,,kamholz2014
69,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",matb1237,Magey Matbat,Austronesian,Papunesia,,kamholz2014
70,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",morm1235,Moor,Austronesian,Papunesia,,kamholz2014
71,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",ires1239,Yerisiam,Austronesian,Papunesia,,kamholz2014
72,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",east2280,East Baltic (Latvian and Lithuanian),Indoeuropean,Europe,,kortlandt2010
73,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",latv1249,Latvian,Indoeuropean,Europe,,kortlandt2010
74,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",lith1251,Lithuanian,Indoeuropean,Europe,,kortlandt2010
75,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",auks1239,Auktaitian dialects of Lithuanian,Indoeuropean,Europe,,kortlandt2010
76,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",metn1237,Metnyo Ambel,Austronesian,Papunesia,,arnold2020
